CSDUID,CSDNAME,Type,Price,Location,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,location
3557041,Elliot Lake,5,1100,"46.3873697,-82.6594712",2,1,0,0,0,1000,1,11551,"46.38582667, -82.64942541"
3557061,Sault Ste. Marie,2,1800,"46.5732745,-84.2839642",3,1,1,1,1,1200,2,75673,"46.5215406, -84.31783225"
3557074,Garden River 14,2,2500,"46.509959,-84.092009",3,2,0,0,0,2200,1,1193,"46.53674861, -84.1498112"
3558004,Thunder Bay,1,1400,"48.4689595,-89.192651",2,1,1,0,1,1200,1,111113,"48.48675977, -89.321521"
3558051,Schreiber,5,850,"48.8158836,-87.2684336",2,1,0,0,1,750,1,1055,"48.80763085, -87.2661107"
3558054,Terrace Bay,2,2000,"48.783999,-87.0966258",3.5,3,0,0,0,3100,1,1524,"48.78276996, -87.10287985"
3558075,Greenstone,1,850,"49.7244094,-86.9501357",0.5,1,1,1,1,400,1,4323,"49.7226939, -86.9547123"
3558090,"Thunder Bay, Unorganized",2,1248,"48.9532461,-88.6958515",3,1,0,0,1,600,1,6113,"48.84937114, -87.5353407"
3559012,Fort Frances,1,1400,"48.6121155,-93.3911282",1,1,1,1,1,900,1,7749,"48.60819408, -93.39290826"
3559019,Emo,6,1800,"48.6322193,-93.8350254",3,2,1,1,1,1500,1,1447,"48.631491, -93.842073"
3560010,Kenora,1,2800,"49.7991595,-94.4768011",3,1.5,1,1,1,1100,2,15766,"49.77572754, -94.4852186"
3560090,"Kenora, Unorganized",2,3000,"49.725858,-94.334363",2,1,1,1,1,1440,1,7294,"49.73618353, -94.58120582"
